Show #,date,location,venue,setlist
987,"April 9, 2016"," Miami, FL",American Airlines Arena,"['Corduroy', 'Do The Evolution', 'Mind Your Manners', 'Save You', 'Pilate', 'Dissident', 'W.M.A.', 'Even Flow', 'Infallible', 'Daughter', ""It's Ok"", 'Sad', 'Down', 'Tremor Christ', 'Wishlist', 'Jeremy', 'State Of Love And Trust', 'Rearviewmirror', 'Good Woman', 'Just Breathe', 'Sleeping By Myself', 'Comfortably Numb', 'Sirens', 'Once', 'Given To Fly', 'Porch', 'Soldier Of Love', 'Happy Birthday', 'Spin The Black Circle', 'Black', 'Alive', ""Rockin' In The Free World""]"
988,"April 11, 2016"," Tampa, FL",Amalie Arena,"['Why Go', 'Mind Your Manners', 'Animal', 'Got Some', 'Corduroy', 'Love Boat Captain', 'Low Light', 'Red Mosquito', 'Hard To Imagine', 'Even Flow', ""My Father's Son"", 'Daughter', 'Another Brick In The Wall (Part 2)', 'Getaway', 'In the Moonlight', 'Jeremy', 'Do The Evolution', 'Blood', 'Pendulum', 'Off He Goes', 'Come Back', 'Lightning Bolt', 'Lukin', 'Porch', 'Elderly Woman Behind The Counter In A Small Town', 'Imagine', 'Wasted Reprise', 'Life Wasted', 'Better Man', 'Save it for Later', 'Sonic Reducer', 'Alive', ""Baba O'Riley"", 'Little Wing']"
989,"April 13, 2016"," Jacksonville, FL",Jacksonville Veterans Memorial Arena,"['Elderly Woman Behind The Counter In A Small Town', 'Mind Your Manners', 'Hail, Hail', 'Last Exit', 'Lightning Bolt', 'Nothingman', 'Army Reserve', 'Given To Fly', 'Rival', 'Setting Forth', 'Corduroy', 'Even Flow', 'Of The Earth', 'Glorified G', 'Unthought Known', 'Let The Records Play', 'Spin The Black Circle', 'Porch', ""I Won't Back Down"", 'I Am A Patriot', 'Just Breathe', 'Jeremy', 'Ghost', 'Do The Evolution', 'Better Man', 'Save it for Later', 'Smile', 'Once', 'Black', 'State Of Love And Trust', 'Alive', ""Rockin' In The Free World"", 'Yellow Ledbetter', 'Star-Spangled Banner']"
990,"April 16, 2016"," Greenville, SC",Bon Secours Wellness Arena,"['Corduroy', 'Go', 'Animal', 'Daughter', 'Glorified G', 'Dissident', 'W.M.A.', 'Blood', 'Rearviewmirror', 'Rats', 'Elderly Woman Behind The Counter In A Small Town', 'Leash', 'Indifference', 'Mind Your Manners', 'Swallowed Whole', 'Sirens', 'Let The Records Play', 'Spin The Black Circle', 'Do The Evolution', 'Future Days', 'Nothingman', 'Given To Fly', 'Present Tense', 'Comfortably Numb', 'Lightning Bolt', 'Porch', 'Last Kiss', 'Breath', 'Comatose', 'Better Man', 'Save it for Later', 'Alive', ""Baba O'Riley"", 'Yellow Ledbetter']"
991,"April 18, 2016"," Hampton, VA",Hampton Coliseum ,"['Why Go', 'Mind Your Manners', 'Corduroy', 'Brain Of J.', 'Faithfull', 'I Am Mine', 'Jeremy', 'Setting Forth', 'Not For You', 'Modern Girl', 'Even Flow', 'Daughter', ""It's Ok"", 'Long Road', 'Wishlist', 'Sirens', 'Habit', 'Given To Fly', 'Lukin', 'Rearviewmirror', 'I Am A Patriot', 'Sleeping By Myself', 'Come Back', 'Sad', 'Lightning Bolt', 'In My Tree', 'Breath', 'Do The Evolution', 'Porch', 'Happy Birthday', 'Elderly Woman Behind The Counter In A Small Town', 'Inside Job', 'Black', 'Alive', ""Rockin' In The Free World"", 'Indifference']"
992,"April 21, 2016"," Columbia, SC",Colonial Life Center,"['Oceans', 'Low Light', 'Elderly Woman Behind The Counter In A Small Town', 'Animal', 'Mind Your Manners', 'Do The Evolution', 'Lightning Bolt', 'Given To Fly', 'Immortality', 'Even Flow', 'Light Years', 'Marker In The Sand', 'Infallible', 'Jeremy', 'I Got Shit', 'Rearviewmirror', 'Happy Birthday', 'Rise', 'Sleight Of Hand', 'Footsteps', 'All Those Yesterdays', 'Corduroy', 'Got Some', 'Wasted Reprise', 'Life Wasted', 'Porch', 'Purple Rain', 'Chloe Dancer', 'Crown Of Thorns', 'State Of Love And Trust', 'Black', 'Alive', ""Rockin' In The Free World"", 'Yellow Ledbetter', 'Purple Rain']"
993,"April 23, 2016"," New Orleans, LA",New Orleans Jazz and Heritage Festival,"['State Of Love And Trust', 'Arms Aloft', 'Mind Your Manners', ""Gods' Dice"", 'Setting Forth', 'Corduroy', 'Nothingman', 'In Hiding', 'Even Flow', 'Sirens', 'Unthought Known', 'Long Road', 'Daughter', 'Of The Earth', 'Last Exit', 'Porch', 'Go', 'Inside Job', 'Given To Fly', 'Lightning Bolt', 'Better Man', 'Save it for Later', 'Do The Evolution', 'Alive', 'The Real Me', ""Rockin' In The Free World""]"
994,"April 26, 2016"," Lexington, KY",Rupp Arena,"['Lightning Bolt', 'Mind Your Manners', 'Animal', 'Why Go', 'Deep', ""Satan's Bed"", 'Elderly Woman Behind The Counter In A Small Town', 'Corduroy', 'Sirens', 'Education', 'Even Flow', 'Spin The Black Circle', 'Army Reserve', 'Daughter', 'Another Brick In The Wall (Part 2)', '1/2 Full', 'Given To Fly', 'Swallowed Whole', 'Lukin', 'Rearviewmirror', ""You've Got To Hide Your Love Away"", 'Just Breathe', 'Thumbing My Way', 'Comfortably Numb', 'Do The Evolution', 'Sonic Reducer', 'Porch', 'Smile', 'Leaving Here', 'Black', 'Better Man', 'Save it for Later', 'Alive', ""Baba O'Riley"", 'Yellow Ledbetter']"
995,"April 28, 2016"," Philadelphia, PA",Wells Fargo Center,"['Once', 'Animal', 'Gonna See My Friend', 'All Night', 'Mind Your Manners', 'Low Light', 'Wishlist', 'Jam', 'Love Boat Captain', 'Given To Fly', 'Even Flow', 'In the Moonlight', 'In My Tree', 'Jeremy', 'Education', 'Unthought Known', 'Do The Evolution', 'Lightning Bolt', 'Porch', 'Picture In A Frame', 'Angie', 'Oceans', 'Chloe Dancer', 'Crown Of Thorns', 'Why Go', 'Got Some', 'Rearviewmirror', 'Save You', 'Elderly Woman Behind The Counter In A Small Town', 'Crazy Mary', 'Paint It Black', 'State Of Love And Trust', 'Alive', ""Fuckin' Up"", 'Indifference']"
996,"April 29, 2016"," Philadelphia, PA",Wells Fargo Center,"['Once', 'Even Flow', 'Alive', 'Why Go', 'Black', 'Jeremy', 'Oceans', 'Porch', 'Garden', 'Deep', 'Release', 'Breakerfall', 'Corduroy', 'Who You Are', 'Let The Records Play', 'Spin The Black Circle', 'Do The Evolution', 'Bee Girl', 'Just Breathe', 'All Or None', 'Comfortably Numb', 'Mind Your Manners', 'Given To Fly', 'Daughter', 'W.M.A.', 'Rearviewmirror', 'Last Kiss', 'Over The Hills And Far Away', 'Better Man', 'Leash', 'Throw Your Hatred Down', 'Sonic Reducer', ""Baba O'Riley"", 'Yellow Ledbetter', 'Star-Spangled Banner']"
997,"May 1, 2016"," New York, NY",Madison Square Garden,"['Go', 'Mind Your Manners', 'Corduroy', 'Hail, Hail', 'Given To Fly', 'Low Light', 'Release', 'Even Flow', 'I Got Shit', 'In Hiding', 'Rats', 'Down', 'Dangerous Business', 'Wishlist', 'Jeremy', 'Do The Evolution', 'Why Go', 'Lukin', 'Rearviewmirror', 'The End', 'Future Days', 'Off He Goes', 'Footsteps', 'Chloe Dancer', 'Crown Of Thorns', 'Unthought Known', 'Takin It to the Streets', 'Whipping', 'Better Man', 'Save it for Later', 'Porch', 'Elderly Woman Behind The Counter In A Small Town', 'Lightning Bolt', 'Black', 'Alive', ""Rockin' In The Free World"", 'Indifference']"
998,"May 2, 2016"," New York, NY",Madison Square Garden,"['Corduroy', 'Mind Your Manners', 'Once', 'Animal', 'Given To Fly', 'Surrender', 'Elderly Woman Behind The Counter In A Small Town', 'Nothingman', 'Leatherman', 'Better Man', 'Save it for Later', 'Garden', 'Even Flow', 'Sirens', 'Deep', 'Jeremy', 'Leash', 'Do The Evolution', ""You've Got To Hide Your Love Away"", 'All Or None', 'Pendulum', 'Present Tense', 'Breath', 'State Of Love And Trust', 'Porch', 'Last Kiss', 'Driven To Tears', 'Lightning Bolt', 'Sonic Reducer', 'Alive', ""Baba O'Riley"", 'Yellow Ledbetter', 'Star-Spangled Banner']"
999,"May 5, 2016"," Quebec City, QC",Centre Vidéotron,"['Of The Girl', 'Elderly Woman Behind The Counter In A Small Town', 'Once', 'Last Exit', ""Gods' Dice"", 'Even Flow', 'Pilate', 'Light Years', 'Severed Hand', 'Corduroy', 'You Are', 'Mind Your Manners', 'Whipping', 'Nothing As it Seems', 'Given To Fly', 'State Of Love And Trust', ""I'm Open"", 'MFC', 'Why Go', 'Better Man', 'Save it for Later', 'The Needle and The Damage Done', 'Thumbing My Way', 'Sleeping By Myself', 'Wash', 'Comatose', 'Lightning Bolt', 'Sad', 'Surrender', 'Porch', 'Daughter', 'Androgynous Mind', ""It's Ok"", 'Do The Evolution', 'Jeremy', 'Black', 'Alive', 'War Pigs', ""Baba O'Riley""]"
1000,"May 8, 2016"," Ottawa, ON",Centre Canadian Tire,"['Lightning Bolt', 'Mind Your Manners', 'Do The Evolution', 'Save You', 'Elderly Woman Behind The Counter In A Small Town', 'Love Boat Captain', 'Deep', 'Faithfull', 'I Am Mine', 'Even Flow', 'Setting Forth', 'Corduroy', 'Immortality', 'Given To Fly', 'Big Wave', 'Why Go', 'Jeremy', 'Porch', 'Bee Girl', 'Speed of Sound', 'Parachutes', 'Sirens', ""Love Reign O'er Me"", 'Better Man', 'Save it for Later', 'Blood', 'Atomic Dog', 'All I Want Is You', 'Wasted Reprise', 'Life Wasted', 'Black', 'Alive', ""Fuckin' Up""]"
1001,"May 10, 2016"," Toronto, ON",Air Canada Centre,"['Go', 'Do The Evolution', 'Mind Your Manners', 'Breakerfall', ""Gods' Dice"", 'Evacuation', 'Light Years', 'Nothing As it Seems', 'Thin Air', 'Insignificance', 'Of The Girl', 'Grievance', 'Rival', 'Sleight Of Hand', 'Sleight Of Hand', 'Soon Forget', 'Parting Ways', 'Corduroy', 'Once', 'Rearviewmirror', 'Imagine', 'Let Me Sleep', 'Comfortably Numb', 'Even Flow', 'Down', 'Better Man', 'Save it for Later', 'Porch', 'Elderly Woman Behind The Counter In A Small Town', 'Given To Fly', 'State Of Love And Trust', 'Black', 'Time Heals', 'The Real Me', 'Alive', ""Rockin' In The Free World""]"
1002,"May 12, 2016"," Toronto, ON",Air Canada Centre,"['Why Go', 'Corduroy', 'Mind Your Manners', 'Brain Of J.', 'Animal', 'Garden', 'I Am Mine', 'Nothingman', 'Cropduster', 'Fly By Night', 'Even Flow', 'Daughter', 'W.M.A.', 'Green Disease', 'Unthought Known', 'Present Tense', 'Alone', 'Lightning Bolt', 'Do The Evolution', 'Blood', 'Just Breathe', 'Oceans', 'Inside Job', 'Breath', 'Lukin', 'Porch', 'Last Kiss', 'Last Exit', 'Better Man', 'Crazy Mary', 'Black', 'Alive', ""Baba O'Riley"", 'Yellow Ledbetter']"
1003,"June 9, 2016"," Nashville, TN",Third Man Records,"['Interstellar Overdrive', 'Corduroy', 'Pendulum', 'Mind Your Manners', '1/2 Full', 'Life Wasted', 'Deep', 'Of The Earth', 'Hard To Imagine', 'Let Me Sleep']"
1004,"June 11, 2016"," Manchester, TN",Bonnaroo Music Festival,"['Go', 'Save You', 'Corduroy', 'Lightning Bolt', 'Given To Fly', 'Nothingman', 'Mind Your Manners', 'Even Flow', 'Wishlist', 'Arms Aloft', 'Daughter', 'Jeremy', 'Why Go', 'Porch', 'Oceans', 'Happy Birthday', 'Elderly Woman Behind The Counter In A Small Town', 'Comfortably Numb', 'Do The Evolution', 'Better Man', 'Black', 'Alive', ""Rockin' In The Free World""]"
1005,"July 9, 2016"," Telluride, CO",Telluride Town Park,"['Nothingman', 'Pendulum', 'Thin Air', 'Sleeping By Myself', 'Off He Goes', 'Just Breathe', 'Angel', 'Society', 'Low Light', 'Elderly Woman Behind The Counter In A Small Town', 'Setting Forth', 'Corduroy', 'Why Go', 'Mind Your Manners', 'Even Flow', 'Glorified G', 'Daughter', 'W.M.A.', 'Sirens', 'Unthought Known', 'Better Man', 'Save it for Later', 'Santa Cruz', ""I Won't Back Down"", 'Smile', 'Given To Fly', 'Comfortably Numb', 'Black', 'Crazy Mary', 'Paint It Black', 'Alive', 'Yellow Ledbetter']"
1006,"July 17, 2016"," Pemberton, BC",Pemberton Music Festival,"['Release', 'Footsteps', 'Daughter', 'Another Brick In The Wall (Part 2)', 'Thumbing My Way', 'Elderly Woman Behind The Counter In A Small Town', 'Present Tense', 'Once', 'Mind Your Manners', 'Spin The Black Circle', 'Given To Fly', 'Dissident', 'Do The Evolution', 'Lightning Bolt', 'Dream Baby Dream', 'Wishlist', 'Corduroy', 'Even Flow', 'Of The Earth', 'Porch', 'Oceans', 'Go', 'State Of Love And Trust', 'Comfortably Numb', 'Black', 'Jeremy', 'Happy Birthday', 'Alive', 'Yellow Ledbetter']"
1007,"August 5, 2016"," Boston, MA",Fenway Park,"['Release', 'Long Road', 'Elderly Woman Behind The Counter In A Small Town', 'Low Light', 'All Those Yesterdays', 'Given To Fly', 'Mind Your Manners', 'Why Go', 'Daughter', 'Another Brick In The Wall (Part 2)', 'W.M.A.', 'Even Flow', 'Grievance', 'Faithfull', 'Grievance', 'I Am Mine', 'Down', 'Black', 'Do The Evolution', 'Masters Of War', 'I Am A Patriot', 'Porch', 'Strangest Tribe', 'Society', 'Just Breathe', 'Sleeping By Myself', 'Wasted Reprise', 'Life Wasted', 'State Of Love And Trust', 'Comfortably Numb', 'Corduroy', 'Draw the Line', 'Alive', ""I've Got a Feeling"", ""Baba O'Riley""]"
1008,"August 7, 2016"," Boston, MA",Fenway Park,"['Pendulum', 'Off He Goes', 'Nothing As it Seems', 'Nothingman', 'Wishlist', 'Interstellar Overdrive', 'Corduroy', 'Animal', 'Hail, Hail', 'Lightning Bolt', 'In Hiding', 'Even Flow', 'Sirens', 'Draw the Line', 'Lukin', 'Not For You', 'Modern Girl', 'Immortality', 'Deep', 'Jeremy', 'Unthought Known', 'Rearviewmirror', 'Yellow Moon', 'Angel', 'Footsteps', 'I Believe In Miracles', 'Mind Your Manners', 'Better Man', 'Save it for Later', 'Happy Birthday', 'Smile', 'Go', ""Love Reign O'er Me"", 'Do The Evolution', 'Wooden Jesus', 'Breath', 'Alive', ""Rockin' In The Free World"", 'Yellow Ledbetter', 'Star-Spangled Banner']"
1009,"August 20, 2016"," Chicago, IL",Wrigley Field,"['Low Light', 'Release', 'Rain', 'Elderly Woman Behind The Counter In A Small Town', 'Do The Evolution', 'Last Exit', 'Lightning Bolt', 'Sad', 'Amongst The Waves', 'Even Flow', 'Light Years', 'I Got Shit', 'Mind Your Manners', 'Unthought Known', 'Masters Of War', 'I Am A Patriot', 'Daughter', 'W.M.A.', 'Jeremy', 'Better Man', 'Save it for Later', 'Bee Girl', 'Just Breathe', 'I Believe In Miracles', 'Let Me Sleep', 'Inside Job', 'Comfortably Numb', 'Interstellar Overdrive', 'Corduroy', 'Porch', 'Go', 'Black', 'Surrender', 'Alive', 'All The Way', ""Baba O'Riley""]"
1010,"August 22, 2016"," Chicago, IL",Wrigley Field,"['Oceans', 'Footsteps', 'Off He Goes', 'Better Man', 'Summertime Rolls', 'Corduroy', 'State Of Love And Trust', 'Why Go', 'Animal', 'Given To Fly', 'Immortality', 'Black Red Yellow', 'Deep', 'Jeremy', 'I Am Mine', 'Wishlist', 'Of The Earth', 'Lukin', 'Mind Your Manners', 'Rearviewmirror', 'Throw Your Arms Around Me', 'Man Of The Hour', 'Last Kiss', 'Got Some', 'Comatose', 'Even Flow', ""Don't Gimme No Lip"", 'Sonic Reducer', 'Blood', 'Crazy Mary', 'Paint It Black', 'Surrender', 'Alive', 'All The Way', 'Time Has Come Today', ""Rockin' In The Free World"", 'Yellow Ledbetter', ""I've Got a Feeling""]"
1011,"April 7, 2017"," Brooklyn, NY",Barclays Center,"['Alive', 'Given To Fly', 'Better Man', 'Save it for Later', 'Sympathy for The Devil', ""Rockin' In The Free World""]"
1012,"March 13, 2018"," Santiago, CL",Movistar Arena,"['Release', 'Of The Girl', 'Low Light', 'Animal', 'Mind Your Manners', 'Hail, Hail', 'Love Boat Captain', 'Corduroy', 'Dissident', 'Even Flow', 'Present Tense', 'Given To Fly', 'Garden', 'The Fixer', 'Eruption', 'Lightning Bolt', ""Can't Deny Me"", 'Porch', 'Around The Bend', 'Footsteps', 'Come Back', 'Happy Birthday', 'Crazy Mary', 'Do The Evolution', 'Better Man', 'Save it for Later', 'Black', 'We Belong Together', 'Comfortably Numb', 'Alive', 'Last Kiss', ""Baba O'Riley"", 'Indifference']"
1013,"March 16, 2018"," Santiago, CL",Parque O'Higgins,"['Corduroy', 'Elderly Woman Behind The Counter In A Small Town', 'Nothingman', 'Why Go', 'Do The Evolution', 'Even Flow', 'Given To Fly', 'Mind Your Manners', 'Unthought Known', 'Daughter', 'Got Some', ""Can't Deny Me"", 'Lukin', 'Porch', 'Last Kiss', 'Sirens', 'Jeremy', 'State Of Love And Trust', 'Better Man', 'Save it for Later', 'Comfortably Numb', 'Rearviewmirror', 'Alive', ""Rockin' In The Free World"", 'Yellow Ledbetter']"
1014,"March 21, 2018"," Rio de Janeiro, BR",Estadio Maracana,"['Release', 'Low Light', 'Elderly Woman Behind The Counter In A Small Town', 'Go', 'All Night', 'Animal', 'Given To Fly', 'In Hiding', 'Jeremy', 'Corduroy', 'Even Flow', 'Immortality', 'Wishlist', 'Mind Your Manners', 'Lightning Bolt', 'Garden', ""Can't Deny Me"", 'Porch', 'Sleeping By Myself', 'Inside Job', 'Daughter', 'Blitzkrieg Bop', 'W.M.A.', 'Do The Evolution', 'Black', 'Leaving Here', 'Blood', 'Better Man', 'Save it for Later', 'Alive', ""Rockin' In The Free World"", 'Yellow Ledbetter']"
1015,"March 24, 2018"," Sao Paulo, BR",Autódromo de Interlagos,"['Wash', 'Corduroy', 'Do The Evolution', 'Why Go', 'Mind Your Manners', 'Elderly Woman Behind The Counter In A Small Town', ""Can't Deny Me"", 'Even Flow', 'Happy Birthday', 'Mountain Song', 'Breath', 'Pulled Up', 'Unthought Known', 'Jeremy', 'Sirens', 'Down', 'Better Man', 'Save it for Later', 'Hold On', 'Black', 'We Belong Together', 'Once', 'Lukin', 'Porch', 'Smile', 'Comfortably Numb', 'Alive', 'Voodoo Child', ""Baba O'Riley"", 'Yellow Ledbetter']"
1016,"June 12, 2018"," Amsterdam, NL",Ziggo Dome,"['Long Road', 'Low Light', 'Elderly Woman Behind The Counter In A Small Town', 'Corduroy', 'Do The Evolution', 'Given To Fly', 'Mind Your Manners', 'Red Mosquito', 'Wishlist', 'Even Flow', 'Severed Hand', 'Not For You', 'Daughter', 'Another Brick In The Wall (Part 2)', 'Again Today', 'Got Some', 'Down', 'Better Man', 'Yellow Moon', 'Footsteps', 'Jeremy', 'Why Go', 'Porch', 'Black', 'Alive', ""Fuckin' Up"", 'Indifference']"
1017,"June 13, 2018"," Amsterdam, NL",Ziggo Dome,"['Release', 'Present Tense', 'Animal', 'Last Exit', 'Lightning Bolt', '1/2 Full', 'Untitled', 'MFC', 'Even Flow', 'Green Disease', 'Light Years', 'Glorified G', ""Can't Deny Me"", 'Mind Your Manners', 'Unthought Known', 'Inside Job', 'State Of Love And Trust', 'Do The Evolution', 'Porch', 'Bee Girl', 'Man Of The Hour', 'Just Breathe', 'Once', 'Black', 'We Belong Together', 'Rearviewmirror', 'Alive', ""Rockin' In The Free World"", 'Yellow Ledbetter']"
1018,"June 15, 2018"," Landgraaf, NL",Pinkpop Festival,"['Interstellar Overdrive', 'Corduroy', 'Why Go', 'Do The Evolution', 'Red Mosquito', 'Elderly Woman Behind The Counter In A Small Town', 'Even Flow', ""Can't Deny Me"", 'Given To Fly', 'Mind Your Manners', 'Lightning Bolt', 'Daughter', 'Another Brick In The Wall (Part 2)', 'Suggestion', 'Once', 'Hail, Hail', 'Nothingman', 'Better Man', 'Save it for Later', 'Lukin', 'Porch', 'Jeremy', 'Black', 'We Belong Together', 'Rearviewmirror', 'Sonic Reducer', 'Alive', ""Rockin' In The Free World""]"
1019,"June 18, 2018"," London, UK",O2 Arena,"['Of The Girl', 'Low Light', 'Elderly Woman Behind The Counter In A Small Town', 'Animal', 'Brain Of J.', 'Even Flow', 'Wishlist', 'Deep', 'Severed Hand', 'Love Boat Captain', ""Can't Deny Me"", 'Do The Evolution', 'Down', 'Daughter', 'W.M.A.', 'You Are', 'Parting Ways', 'Porch', ""Nobody's Fault but Mine"", 'Off He Goes', 'Sleeping By Myself', 'Footsteps', 'Mind Your Manners', 'Why Go', 'Better Man', 'Last Kiss', 'Black', 'Alive', ""Rockin' In The Free World""]"
1020,"July 17, 2018"," London, UK",O2 Arena,"['Oceans', 'Nothing As it Seems', 'Go', 'Corduroy', 'Save You', 'Do The Evolution', 'Given To Fly', 'In Hiding', 'I Am Mine', 'Green Disease', 'Even Flow', 'Daughter', ""It's Ok"", 'You Are', ""Satan's Bed"", ""Can't Deny Me"", 'Mankind', 'Whipping', 'Lukin', 'Rearviewmirror', ""I Won't Back Down"", 'Fatal', 'Around The Bend', 'Jeremy', 'Mind Your Manners', 'Breath', 'Happy Birthday', 'Crazy Mary', 'Stairway to Heaven', 'Paint It Black', 'Porch', 'Elderly Woman Behind The Counter In A Small Town', 'Wasted Reprise', 'Alive', ""Baba O'Riley"", 'Yellow Ledbetter', 'All Along The Watchtower']"
1021,"June 22, 2018"," Milan, IT",Area Expo,"['Release', 'Elderly Woman Behind The Counter In A Small Town', 'Do The Evolution', 'Given To Fly', 'Wishlist', 'Even Flow', 'Corduroy', 'Immortality', 'Eruption', 'You Are', 'Daughter', 'Another Brick In The Wall (Part 2)', 'Mankind', 'I Got Shit', 'Porch', 'Footsteps', 'Black', 'Alive', ""Rockin' In The Free World"", 'Yellow Ledbetter']"
1022,"June 24, 2018"," Padova, IT",Stadio Euganeo,"['Pendulum', 'Low Light', 'Last Exit', 'Do The Evolution', 'Animal', 'Improv', 'Corduroy', 'Given To Fly', ""Gods' Dice"", 'Not For You', 'Modern Girl', 'Even Flow', 'Daughter', 'Red Mosquito', 'Mind Your Manners', 'Down', 'Spin The Black Circle', 'Porch', 'Elderly Woman Behind The Counter In A Small Town', 'Inside Job', 'Once', 'Better Man', 'Black', 'Crazy Mary', 'Rearviewmirror', 'Smile', 'Alive', ""Baba O'Riley"", 'Indifference']"
1023,"June 26, 2018"," Rome, IT",Stadio Olimpico,"['Release', 'Elderly Woman Behind The Counter In A Small Town', 'Interstellar Overdrive', 'Corduroy', 'Why Go', 'Do The Evolution', 'Pilate', 'Given To Fly', 'Even Flow', 'Wasted Reprise', 'Wishlist', 'Lightning Bolt', 'Again Today', 'Untitled', 'MFC', 'Immortality', 'Unthought Known', 'Eruption', ""Can't Deny Me"", 'Mankind', 'Animal', 'Lukin', 'Porch', 'Sleeping By Myself', 'Just Breathe', 'Imagine', 'Daughter', 'W.M.A.', 'State Of Love And Trust', 'Black Diamond', 'Jeremy', 'Better Man', 'I Wanna Be Your Boyfriend', 'Save it for Later', 'Comfortably Numb', 'Black', 'Rearviewmirror', 'Alive', ""Rockin' In The Free World""]"
1024,"July 1, 2018"," Prague, CZ",O2 Arena,"['Pendulum', 'Nothingman', 'Corduroy', 'Brain Of J.', 'Do The Evolution', 'Tremor Christ', 'Lightning Bolt', 'Dissident', 'Even Flow', 'Jeremy', 'Improv', 'Love Boat Captain', 'Help!', 'Help Help', 'State Of Love And Trust', 'Spin The Black Circle', 'Better Man', 'Save it for Later', 'Porch', 'Man Of The Hour', 'The End', 'Given To Fly', 'Unthought Known', 'Black', 'Rearviewmirror', 'Elderly Woman Behind The Counter In A Small Town', 'Alive', ""Rockin' In The Free World"", 'Indifference']"
